[2026-04-27T07:09:22] STARTUP | condition=system starting
[2026-04-27T07:10:53] SHUTDOWN | condition=manual
[2026-04-27T07:19:28] STARTUP | condition=system starting
[2026-04-27T07:27:33] ANOMALY_DETECTED | 216.180.246.126 | condition=zscore=4.04 | rate=0.03>0.01 | error_surge | rate=0.03 | baseline=0.00
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.40 | rate=4.40 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.42 | rate=4.42 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.43 | rate=4.43 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.45 | rate=4.45 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.47 | rate=4.47 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.48 | rate=4.48 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.50 | rate=4.50 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.52 | rate=4.52 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.53 | rate=4.53 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.55 | rate=4.55 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.57 | rate=4.57 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.58 | rate=4.58 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.60 | rate=4.60 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.62 | rate=4.62 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.63 | rate=4.63 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.65 | rate=4.65 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.67 | rate=4.67 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.68 | rate=4.68 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.70 | rate=4.70 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.72 | rate=4.72 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.73 | rate=4.73 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.75 | rate=4.75 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.77 | rate=4.77 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.78 | rate=4.78 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.80 | rate=4.80 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.82 | rate=4.82 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.83 | rate=4.83 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.85 | rate=4.85 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.87 | rate=4.87 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.88 | rate=4.88 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.90 | rate=4.90 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.92 | rate=4.92 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.93 | rate=4.93 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.95 | rate=4.95 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.97 | rate=4.97 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=4.98 | rate=4.98 | baseline=0.75
[2026-04-27T22:49:29] GLOBAL_ANOMALY | condition=global_rate=5.00 | rate=5.00 | baseline=0.75
